@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'Art is the symbol of the two noblest human efforts: to construct and to refrain from destruction.',' Art'
'When you live under the power of terror and segregation, you can\'t ever start a work of art.',' Art'
'There are so many reactions to art that make sense to me - but \'ick\' means something.',' Art'
'Insurrection is an art, and like all arts has its own laws.',' Art'
'The greatest work of art about New York? The question seems nebulous. The city\'s magic and majesty are distilled in the photographs of Alfred Stieglitz and Paul Strand.',' Art'
'Abstract Expressionism - the first American movement to have a worldwide influence - was remarkably short-lived: It heated up after World War II and was all but done for by 1960 (although visit any art school today and you\'ll find a would-be Willem de Kooning).',' Art'
'My culture-deprived, aspirational mother dragged me once a month from our northern suburb - where the word art never came up - to the Art Institute of Chicago. I hated it.',' Art'
'I\'m noticing a new approach to art making in recent museum and gallery shows. It flickered into focus at the New Museum\'s \'Younger Than Jesus\' last year and ran through the Whitney Biennial, and I\'m seeing it blossom and bear fruit at \'Greater New York,\' MoMA P.S. 1\'s twice-a-decade extravaganza of emerging local talent.',' Art'
'Outside museums, in noisy public squares, people look at people. Inside museums, we leave that realm and enter what might be called the group-mind, getting quiet to look at art.',' Art'
'It took the Metropolitan Museum of Art nearly 50 years to wake up to Pablo Picasso. It didn\'t own one of his paintings until 1946, when Gertrude Stein bequeathed that indomitable quasi-Cubistic picture of herself - a portrait of the writer as a sumo Buddha - to the Met, principally because she disliked the Museum of Modern Art.',' Art'
'Appropriation is the idea that ate the art world. Go to any Chelsea gallery or international biennial and you\'ll find it. It\'s there in paintings of photographs, photographs of advertising, sculpture with ready-made objects, videos using already-existing film.',' Art'
'After its hothouse incubation in the seventies, appropriation breathed important new life into art. This life flowered spectacularly over the decades - even if it\'s now close to aesthetic kudzu.',' Art'
'The New York art world readily proves people wrong. Just when folks say that things stink and flibbertigibbet critics wish the worst on us all because we\'re not pure enough, good omens appear.',' Art'
'Artistic qualities that once seemed undeniable don\'t seem so now. Sometimes these fluctuations are only fickleness of taste, momentary glitches in an artist\'s work, or an artist getting ahead of his audience (it took me ten years to catch up to Albert Oehlen). Other times, however, these problems mean there\'s something wrong with the art.',' Art'
'Can space break? I mean the space of art galleries. Over the past 100 years, art galleries have gone from looking like Beaux Arts salons to simple storefronts to industrial lofts to the gleaming giant white cubes of Chelsea with their shiny concrete floors.',' Art'
'It\'s great that New York has large spaces for art. But the enormous immaculate box has become a dated, even oppressive place. Many of these spaces were designed for sprawling installations, large paintings, and the Relational Aesthetics work of the past fifteen years.',' Art'
'The giant white cube is now impeding rather than enhancing the rhythms of art. It preprograms a viewer\'s journey, shifts the emphasis from process to product, and lacks individuality and openness. It\'s not that art should be seen only in rutty bombed-out environments, but it should seem alive.',' Art'
'It\'s art that pushes against psychological and social expectations, that tries to transform decay into something generative, that is replicative in a baroque way, that isn\'t about progress, and wants to - as Walt Whitman put it - \'contain multitudes.\'',' Art'
'Much good art got made while money ruled; I like a lot of it, and hardship and poverty aren\'t virtues. The good news is that, since almost no one will be selling art, artists - especially emerging ones - won\'t have to think about turning out a consistent style or creating a brand. They\'ll be able to experiment as much as they want.',' Art'
